%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
1675854939675376176,0,2.0558060619424645,1.9816104265333223,1.3370362487403216,1.9291274944882617,1.0311278560188162,1.377137720917826,1.3626652105287211,0.8947039943927123
1675854939675434827,0,2.052485967620971,1.9785545707122332,1.329770884920733,1.9282891150493515,1.0311401055983063,1.374426616623488,1.3577462992412808,0.8928749516260168
1675854939675493001,0,2.0489680911670676,1.9773590275128101,1.3327091604736574,1.9255935028264737,1.0327424708173352,1.3762269839785017,1.3510105554611618,0.8964102183058155
1675854939675551652,0,2.0415832425367535,1.9783546344671508,1.3355133038436748,1.9075313175904276,1.0344241972562003,1.383369858288849,1.3534746698626852,0.8983587618401538
1675854939675609827,0,2.0392968757850727,1.9774349978991081,1.3354876531167679,1.8836222685253488,1.0332367152033717,1.3850822173471997,1.3464964977839993,0.901154377287705
1675854939714341163,0,2.042520084106708,1.9759553128885368,1.3356607738653328,1.871642285017009,1.0342337167100548,1.3804898507579202,1.3459597007133874,0.8970268807779942
1675854939718032121,0,2.0355793485981906,1.9808559917396498,1.3374385597058382,1.8661272428809852,1.0340759690950143,1.3871809574573064,1.3464627533650912,0.8940154710530878
1675854939718491315,0,2.0326701241529004,1.9798909740394781,1.3374003557121819,1.8701515629416683,1.029842280254896,1.3848322644308408,1.3204167527843913,0.8926576737323129
1675854939721867799,0,2.037046999976403,1.9743347567201692,1.3365721156546813,1.8707641726916178,1.0304113634651737,1.379612395442037,1.3154878399228733,0.8869385728594342
1675854939725068092,0,2.0374155991995697,1.981519060010691,1.3404613665165164,1.8709252492669013,1.0283213702888119,1.3807128597702354,1.303833241843592,0.8880643988370138
1675854939728643894,0,2.0441275596369732,1.993381171185252,1.3368706821426428,1.871261864814856,1.0240658237577227,1.3810921924229032,1.2979833004727086,0.8863444472841856
1675854939731351375,0,2.037589414642141,1.9908460334452835,1.2840674449464864,1.8654485655565365,1.01496580533293,1.3836588462987767,1.2954140801108707,0.8760131278307983
1675854939739756822,0,2.0452047408727787,2.0002327491891383,1.25268479100799,1.8219497397144122,1.0083073537698923,1.4056211926330338,1.2947811970001704,0.8644788431278803
1675854939744098901,0,2.046206693575676,2.0050292171155513,1.212221312608363,1.7512848336014704,0.9726648397087827,1.4081046649260722,1.2804153952140898,0.8396788684613943
1675854939744292259,0,2.039692227055283,2.0046878894646434,1.1887287079708777,1.7401226210060559,0.9494266542321006,1.4101673008604356,1.2770081963695263,0.8467803649142064
1675854939749053001,0,2.0402671409714617,2.004041760889467,1.1673957874565652,1.737477754244161,0.9348070361051003,1.4130667060252131,1.278929018085638,0.8525412893448568
1675854939749181985,0,2.0917894077249817,2.0604230514151176,1.1706852899795845,1.7282118964707436,0.9368792491418788,1.430732988715704,1.2796793468056535,0.8410415997420172
1675854939752562761,0,2.0878589170471322,2.0617965399943543,1.171842652080305,1.736304440993921,0.936873204141217,1.4303156655266756,1.2734741132738918,0.8387076586249927
1675854939755067825,0,2.072036114203657,2.0615996921073663,1.1721818327516915,1.7428588574368993,0.9299543718201331,1.4196952351248595,1.2713401689359274,0.8393591702618556
1675854939765823125,0,2.078952086314361,2.056932743459382,1.173080979478533,1.7452724704020048,0.9271249967936005,1.3966109020954929,1.2694762303883256,0.844820140378495
1675854939766146421,0,2.0180792990413696,2.0309994033165126,1.0921365541712476,1.4792401204891545,0.922017827335743,1.3317437131536927,1.2124213496534597,0.8866604807239581
1675854939768192768,0,2.02520896834853,2.0304912206565584,1.0901835357870826,1.4280713815185697,0.9210356028978726,1.332108053755733,1.2035258170753884,0.8874434071144732
1675854939775172233,0,2.032894286549138,2.0298737724320914,1.0924112540032862,1.4004926460910034,0.9163288028878852,1.3400580028098685,1.1910613380754234,0.8839647677472793
1675854939775913953,0,2.031840762096105,2.0272681006733464,1.092326411863437,1.3966500587978905,0.9174555273262565,1.336233502349702,1.1892440610242798,0.8841107565495858
1675854939783487081,0,2.0324701220186556,2.0233658489414577,1.0860556446360876,1.3807486599725973,0.9172618682490452,1.3344150744142855,1.195607659662509,0.8862595692914573
1675854939783670186,0,2.0238284458695612,2.023762919093632,1.0867271021859368,1.3775591590112357,0.9023477389509723,1.3337996525280047,1.172385146877519,0.8584353547508821
1675854939783882379,0,2.041208975018623,2.0218105083152387,1.064972759991779,1.4126915219658955,0.9046471512533456,1.3292258308361888,1.200272833679494,0.8711004552676106
1675854939783966064,0,2.034158836674517,2.0256500007111886,1.0618087705753338,1.4243332494294185,0.9045144900822738,1.325952458511516,1.206156462964766,0.8712803063993491
1675854939784060239,0,2.035259132791643,2.025560433176334,1.067205525717088,1.3948516838609646,0.9084227767409857,1.3346289611838589,1.2061904413998366,0.8754368104923476
1675854939784117937,0,2.0324988584748422,2.0241391679428236,1.0701620174046869,1.384755141504924,0.9074885637274973,1.3356829372662324,1.2200982358912866,0.8746624573741105
1675854939784186601,0,1.9831984719806703,1.7825933192068693,1.03909956972532,1.3900814151733805,1.7807390387889372,2.8470750403124994,1.3351030564545856,0.9216591012663806
1675854939784271001,0,2.036922775262227,1.8062581281239496,1.0526274162188705,1.3923180585734531,2.066404373313721,3.3892282457327605,1.4389382512005897,0.9356396293577467
1675854939784356832,0,2.0969355684944957,1.8338077071112884,1.064799854717342,1.3966059613812782,2.1068729345410473,3.495123039983508,1.4737619468158734,0.9254424843899204
1675854939784457445,0,2.105907064869645,1.8162461087221673,1.074134620961537,1.3949306053577537,2.108543859591911,3.5000838735828093,1.4789763990302653,0.9290168061452451
1675854939784511804,0,2.1095279940253397,1.80668909757388,1.057704077450151,1.387048453185914,2.1689277558271574,3.5805961535358004,1.4887057104291443,0.9307145201010284
1675854939784574985,0,2.1103290471434764,1.8084447833105264,1.0513111980831698,1.384344958419476,2.203624693310619,3.655496929121659,1.5038870650013614,0.9470744176092429
1675854939784630060,0,2.1113841130242865,1.818088103222769,1.0550039802035402,1.381550117399407,2.2033191597573905,3.680303301659765,1.503698303112594,0.9589306379549759
1675854939784682989,0,2.1075229509575464,1.8219635292944598,1.052117586267627,1.3874260935548939,2.210286088660765,3.7232063480809483,1.5057352413108425,0.9593901433770294
1675854939784735679,0,2.1072575508031552,1.825121981593443,1.0464596179343832,1.3845089683442413,2.220495546240145,3.756921976350237,1.5089205615463184,0.9586489487566745
1675854939784789800,0,2.1064797236764057,1.83191745905816,1.0464938378276518,1.4029524076326354,2.2202517842545584,3.76433947086718,1.5267168508630242,0.958698971776133
1675854939800410985,0,2.1053312276887186,1.8404237286209095,1.0536613585360413,1.4012326805793531,2.221372075647427,3.7732093493324164,1.5157575319030325,0.9570750985369436
1675854939810192584,0,2.100749992326323,1.8430566104351598,1.0702135334653506,1.3752035632566157,2.240763882014954,3.7921116930321093,1.506024580097297,0.9508627256876706
1675854939811424255,0,2.0998660958981716,1.8400644815750642,1.0806847856024644,1.3749395471796217,2.251590980196449,3.8012921028858817,1.5056664565693911,0.9443536647739231
1675854939819106340,0,2.1076456269355535,1.8405071049979111,1.081491396958173,1.3666011072948179,2.302627388220227,3.8774246399188925,1.5033220561774168,0.9359067710171672
1675854939819308519,0,2.122775500080461,1.8348684242259392,1.0824381267868064,1.3654455100945098,2.358353415266896,3.9506439158748847,1.5348771743704495,0.939127497410064
1675854939819503545,0,2.1593636074611324,1.8405691539600935,1.0797107723535078,1.3703748988525633,2.5597388875189258,4.272191118044509,1.5564816936658052,0.9645141932920871
1675854939819590091,0,2.1839843557629712,1.8378689988998451,1.0956376740735803,1.367336912661235,2.9027138801878785,4.791752407419435,1.6364567844015816,0.9731395932414315
1675854939819691419,0,2.2882363607108944,1.8731195693172482,1.1055526205410158,1.3627209297447358,3.215595663767233,5.202205926068833,1.8002212208026043,0.972827142169436
1675854939819789171,0,2.3458437687573412,1.9260498203634198,1.1369320090223658,1.3591611921873947,3.344676599679539,5.4511967493694975,1.8444901283949393,0.9666941927643082
1675854939819848775,0,2.3917056083450543,1.955632081816167,1.1825957931658375,1.356639066625178,3.3516354413236553,5.486185373813055,1.85361121834171,0.9702957204488177
1675854939819998025,0,2.3917432940063685,1.9574346826289457,1.1886839371725364,1.353056718070196,3.3523967634456717,5.486005399495944,1.8664564777495136,0.9720109945364662
1675854939821089982,0,2.2621757331009635,1.6708271268173012,1.1732507487460753,1.4870179927602605,3.954333578187817,6.636437464267046,2.0789202252591488,1.0899038799191416
1675854939822073459,0,2.3049795913673927,1.7489523125939068,1.1957047894636514,1.5091431201125811,4.193488184324867,7.134740749720253,2.2201676565930413,1.1449690368601948
1675854939822228431,0,2.370548330556388,1.8536215850237032,1.213212287870968,1.5305363943280537,4.421681578751682,7.573819452620556,2.367932394656736,1.1766080495137259
1675854939822429418,0,2.4163163482137033,1.9590327599559423,1.268444285667656,1.5369105429296916,4.598102645118018,7.903808391774889,2.5489518438278638,1.209836258961332
1675854939822502136,0,2.4784468335958385,2.050287239238495,1.3634774151659639,1.5239245739719367,4.732214965148952,8.245197768766497,2.621415443230062,1.2465969570906672
1675854939822559118,0,2.537701230836773,2.125519397107049,1.3784614014621714,1.5275962964010752,4.848878153336462,8.5146054373065,2.6735875490484005,1.2741328159949692
1675854939822614669,0,2.568362629515425,2.1707745508095426,1.4145462649430383,1.5333803210662111,4.915648596639836,8.694640720729298,2.7051478848331234,1.2831911335193025
1675854939822669744,0,2.5809371014382614,2.2081922069673356,1.451546374192456,1.5395136437855683,4.967366829831094,8.84751717077582,2.7166914336044963,1.2980141860456664
1675854939822735309,0,2.5765155716561234,2.2285103507303767,1.4751639047477643,1.534932784793202,5.012698639589554,8.944441687076418,2.7176883219326613,1.2984151524094327
1675854939822790145,0,2.563916239940102,2.2426564561724125,1.47679315627189,1.5369024541588057,5.021272122624084,8.965824359734933,2.715691036875067,1.2984444088996934
1675854939822844743,0,2.5543617925187934,2.2460943692786666,1.470454483777049,1.5328274257039234,5.027808167090396,8.97620417368224,2.7159531184053325,1.3017888065090402
1675854939822899103,0,2.5534236366230014,2.246095614281782,1.4699412925013549,1.5364370112417212,5.027157642642497,8.981716489810132,2.7160510248166942,1.303010224150457
1675854939849007844,0,2.552969782720492,2.2453955243943446,1.4669159035153618,1.5437626066033074,5.028027716714474,8.981772247805944,2.716238470994743,1.3021604999346017
1675854939850547552,0,2.5542819380349013,2.2469571235191617,1.4668502981291796,1.5441593612284794,5.035688441080948,8.985651573413692,2.7190046344868994,1.299419767823875
1675854939855082273,0,2.5577898387294717,2.2464713915186305,1.4760673171476095,1.544352122918552,5.0404453563337475,8.990145152297439,2.7192531300246006,1.2929894884443602
1675854939857526302,0,2.570154023136501,2.2506517919898696,1.4771032163542699,1.5443270092653834,5.0517821946865356,8.994820008817236,2.7207691622409937,1.2914369618828483
1675854939857682943,0,2.584027745155632,2.2542458560987257,1.4717479963309874,1.5558516622280483,5.0850073864564,8.998252908863028,2.7183159008488547,1.2908211051196192
